CumulativeImmune,CumulativePopulation,CumulativeSick,CumulativeSusceptible,CumulativeVaccinated,ProportionImmune,ProportionSick,ProportionSusceptible,ProportionVaccinated,immunityPeriod,infectiousPeriod,socialDistancingLevels,vaccinationRate,openmole$experiment,temp
3962.1,11483,3542.8,3005.7,972.4,0.345,0.3085,0.2619,0.0844,9.427835142,2.850519146,2.85306268,1.14E+00,979,0.002858201
3752.6,10964.5,3384.3,2799.7,1027.9,0.3422,0.3088,0.2556,0.0935,10.45730966,3.718653407,2.797042392,1.89E+00,971,0.004723164
4264.1,12010.4,3674.6,3045.8,1025.9,0.3546,0.306,0.2543,0.0851,9.828039584,2.232020078,1.30918418,2.11E-01,997,5.27E-04
4064.8,11424.5,3512.1,2851.7,995.9,0.3555,0.3073,0.2502,0.0868,10.7942061,2.630204475,1.94922321,3.37E-01,977,8.42E-04
4095.2,11662.2,3495.6,3022.3,1049.1,0.3507,0.2999,0.2598,0.0894,9.624465491,2.257115484,2.530455649,1.25E+00,993,0.003137014
4211.1,12225.1,3881.5,3088.5,1044,0.3444,0.3177,0.2529,0.085,9.417636704,3.336331299,1.839504643,9.84E-01,1001,0.00246119
4015.9,11822.8,3672.9,3008.6,1125.4,0.3397,0.3109,0.2551,0.0946,10.12289762,3.52036255,2.27060882,1.77E+00,985,0.004436878
3957.3,11591.3,3649.8,2931.9,1052.3,0.3412,0.3149,0.2535,0.0907,10.28034391,3.680283006,1.138703849,1.68E+00,984,0.004210612
3837.6,10877.4,3386.7,2683.3,969.8,0.3527,0.3114,0.2471,0.0888,10.88976868,3.143188054,2.923426711,6.99E-01,1000,0.001747572
3911.3,11266,3526.8,2820.2,1007.7,0.3469,0.3134,0.2507,0.0891,10.51373305,3.527747425,1.641237527,1.32E+00,981,0.003287701
3921.5,11322.4,3484.3,2912.2,1004.4,0.3461,0.3079,0.2575,0.0885,10.32525432,3.048039492,2.736302061,1.26E+00,976,0.003152324
3958.7,11809.8,3730.6,3036.8,1083.7,0.335,0.3158,0.2577,0.0912,9.576050201,3.689994372,2.936117519,1.82E+00,996,0.00455562
4193.3,12111.3,3741,3071.3,1105.7,0.3463,0.3088,0.2539,0.0911,10.11557671,2.927190321,1.725439075,1.27E+00,991,0.003176812
4057.2,11973.8,3869.3,3068.8,978.5,0.3387,0.323,0.2566,0.0815,9.450511604,3.668770693,2.142270898,4.50E-01,969,0.001125213
4088.3,11870.3,3755.1,3057.2,969.7,0.3442,0.3164,0.2578,0.0815,9.384872781,3.059773545,1.917672858,6.74E-01,988,0.00168589
3858.1,11148.9,3485.7,2784.4,1020.7,0.3458,0.3127,0.2503,0.0912,10.55190896,3.577905183,1.290153593,1.92E+00,989,0.004807111
3875.2,11177.8,3470.1,2886,946.5,0.3465,0.3105,0.2584,0.0845,10.26737015,2.806039478,1.405664609,9.04E-01,987,0.002259735
3992.5,11475.5,3524.1,2875.4,1083.5,0.3478,0.3071,0.2509,0.0942,10.59860642,3.32489464,2.572645313,1.65E+00,964,0.004127491
4043.5,11600.3,3620.2,2955.8,980.8,0.3482,0.312,0.2556,0.0843,10.19082882,2.828990198,1.0013998,4.16E-01,975,0.001039872
4139.6,11931.8,3505.4,3086.5,1200.3,0.3467,0.2938,0.2591,0.1004,9.486840046,2.145869916,2.611302514,1.63E+00,957,0.00407951
4019.9,11505.5,3493.8,2857.3,1134.5,0.3493,0.3037,0.2485,0.0984,10.70564831,2.872220165,1.428060251,1.92E+00,983,0.004800857
3985,11383.1,3307.8,2868.7,1221.6,0.3498,0.2908,0.2526,0.1068,10.82270027,2.161291892,2.608839033,1.77E+00,978,0.004425084
4271.6,12253.4,3742,3120.5,1119.3,0.3483,0.3055,0.2549,0.0911,9.341537415,2.596779727,1.28877235,1.72E+00,994,0.004296843
4130.7,11886.9,3689.7,3002.5,1064,0.3474,0.3104,0.2531,0.0892,10.25643572,2.996705355,1.317208759,1.37E+00,995,0.003417717
4023,11638.9,3630.4,2938.1,1047.4,0.3456,0.3119,0.2528,0.0895,10.37430821,3.534669213,1.647134548,1.13E+00,992,0.002824862
4169.2,12195.3,3843.4,3089.1,1093.6,0.3419,0.3151,0.2536,0.0895,9.71710414,3.580569472,2.453370817,1.61E+00,990,0.004027603
4361.7,12513.9,3702.2,3214.3,1235.7,0.3483,0.2959,0.2571,0.0985,9.048424116,2.28160964,2.16443113,1.75E+00,967,0.004364438
4175,11839,3707.4,2891.7,1064.9,0.3525,0.313,0.2448,0.0896,10.61437196,3.483761927,1.032169309,1.09E+00,986,0.002723387
4094.2,11504.3,3636.4,2766.3,1007.4,0.3556,0.3163,0.241,0.0874,10.78527809,3.629464685,1.612894017,3.69E-01,999,9.23E-04
4089.3,11619.1,3575.2,2939.7,1014.9,0.3515,0.3076,0.2537,0.087,10.52791041,3.03380345,2.888419145,3.56E-01,965,8.89E-04
3875.1,10967.2,3319.9,2792.7,979.5,0.3532,0.3028,0.2548,0.0892,10.81807214,2.599132281,2.509647111,8.42E-01,950,0.002104813
4348,12271.6,3663.1,3186.1,1074.4,0.354,0.2983,0.2602,0.0876,9.139866853,2.07638924,2.900994848,9.17E-01,952,0.002292136
4140.3,11632.9,3536.1,2918.5,1038,0.3559,0.3042,0.2512,0.0889,10.72079388,2.427276224,1.709139661,3.31E-03,960,8.26E-06
4018.8,11404.1,3324.3,2854.1,1206.9,0.3523,0.2916,0.2504,0.1057,10.93772472,2.152050119,1.964496471,1.78E+00,961,0.004446212
